"ACM International Conference on Function Programming","ICFP"
"ACM International Conference on Information and Knowledge Management","CIKM"
"ACM International Conference on Web Search and Data Mining","WSDM"
"ACM International Conference on Multimedia","MM"
"ACM International Conference on Computational Linguistics","COLING"
"IEEE International Symposium on Computer Architecture","ISCA"
"IEEE/ACM International Symposium on Microarchitecture","MICRO"
"IEEE International Symposium on High-Performance Computer Architecture","HPCA"
"IEEE Symposium on Security and Privacy","S&P"
"IEEE International Conference on Data Engineering","ICDE"
"International Conference on Data Mining","ICDM"
"IEEE Real Time Technology and Applications Symposium","RTAS"
"IEEE Real-Time Systems Symposium","RTSS"
"IEEE International Symposium on High Performance Distributed Computing","HPDC"
"IEEE International Conference on Automated Software Engineering","ASE"
"IEEE Annual Symposium on Foundations of Computer Science","FOCS"
"IEEE Logic in Computer Science","LICS"
"IEEE International Conference on Robotics and Automation","ICRA"
"IEEE/RJS International Conference on Intelligent RObots and Systems","IROS"
"IEEE Conference on Virtual Reality and 3D User Interfaces","VR"
"IEEE Computer Vision and Pattern Recognition","CVPR"
"IEEE International Conference on Computer Vision","ICCV"
"IEEE Hot Chips: A Symposium on High Performance Chips","HOTCHIPS"
"IEEE IEEE International Conference on Cluster Computing","CLUSTER"
"IEEE International Conference on Computer Design","ICCD"
"IEEE/ACM International Conference on Computer-Aided Design","ICCAD"
"IEEE International Conference on Distributed Computing Systems","ICDCS"
"IEEE/ACM International Conference on Parallel Architectures and Compilation Techniques","PACT"
"IEEE International Test Conference","ITC"
"IEEE International Parallel & Distributed Processing Symposium","IPDPS"
"IEEE Mass Storage Systems and Technologies","MSST"
"IEEE Real-Time and Embedded Technology and Applications Symposium","RTAS"
"IEEE Application-Specific Systems, Architectures, and Processors","ASAP"
"IEEE European Test Symposium","ETS"
"IEEE Field Programmable Logic and Applications","FPL"
"IEEE Field-Programmable Custom Computing Machines","FCCM"
"IEEE IEEE Asian Test Symposium","ATS"
"IEEE International Conference on High Performance Computing and Communications","HPCC"
"IEEE International Conference on High Performance Computing, Data and Analytics","HiPC"
"IEEE International Symposium on Modeling, Analysis, and Simulation of Computer and Telecommunication Systems","MASCOTS"
"IEEE International Symposium on Parallel and Distributed Processing with Applications","ISPA"
"IEEE International Conference on Algorithms and Architectures for Parallel Processing","ICA3PP"
"IEEE/ACM International Symposium on Cluster, Cloud and Grid Computing","CCGrid"
"IEEE International Conference on Field-Programmable Technology","FPT"
"IEEE International Conference on Parallel and Distributed Systems","ICPADS"
"IEEE International Symposium on Circuits and Systems","ISCAS"
"IEEE VLSI Test Symposium","VTS"
"IEEE Symposium on High-Performance Interconnects","HotI"
"IEEE International Conference on Computer Communications","INFOCOM"
"IEEE Communications Society Conference on Sensor and Ad Hoc Communications and Networks","SECON"
"IEEE/ACM International Conference on Information Processing in Sensor Networks","IPSN"
"IEEE International Conference on Network Protocols","ICNP"
"IEEE International Workshop on Quality of Service","IWQoS"
"IEEE Conference on Local Computer Networks","LCN"
"IEEE Global Communications Conference","GLOBECOM"
"IEEE International Conference on Communications","ICC"
"IEEE International Conference on Computer Communications and Networks","ICCCN"
"IEEE International Conference on Mobile Ad-hoc and Sensor Systems","MASS"
"IEEE IEEE International Performance Computing and Communications Conference","IPCCC"
"IEEE International Symposium on a World of Wireless, Mobile and Multimedia Networks","WoWMoM"
"IEEE Symposium on Computers and Communications","ISCC"
"IEEE Wireless Communications & Networking Conference","WCNC"
"IEEE International Conference on Mobile Ad-hoc and Sensor Networks","MSN"
"IEEE International Symposium on Reliable Distributed Systems","SRDS"
"IEEE/IFIP International Conference on Dependable Systems and Networks","DSN"
"IEEE International Conference on Trust, Security and Privacy in Computing and Communications","TrustCom"
"IEEE International Semantic Web Conference","ISWC"
"IEEE Virtual Reality","VR"
"IEEE International Conference on Robotics and Automation","ICRA"
"IEEE International Conference on Pervasive Computing and Communications","PERCOM"
"Network and Distributed System Security Symposium","NDSS"
"Very Large Data Bases Conference","VLDB"
"Design Automation Conference","DAC"
"International Conference on Computer Aided Design","ICCAD"
"Annual International Cryptology Conference","CRYPTO"
"International Conference on the Theory and Application of Cryptographic Techniques","EUROCRYPT"
"International Conference on Computer Aided Verification","CAV"
"Intelligent Systems in Molecular Biology","ISMB"
"Annual International Conference on Research in Computational Molecular Biology","RECOMB"
"Workshop on Internet and Network Economics","WINE"
"International Conference on Pervasive Computing","Pervasive"
"Robotics: Science and Systems Conference","RSS"
"AAAI Conference on Artificial Intelligence","AAAI"
"International Joint Conference on Artificial Intelligence","IJCAI"
"European Conference on Computer Vision","ECCV"
"International Conference on Machine Learning","ICML"
"Neural Information Processing Systems","NeurIPS"
"Annual Meeting of the Association for Computational Linguistics","ACL"
"Conference on Empirical Methods in Natural Language Processing","EMNLP"
"North American Chapter of the Association for Computational Linguistics","NAACL"
"International Conference on Parallel Processing","ICPP"
"European Conference on Parallel and Distributed Computing","Euro-Par"
"IFIP International Conference on Network and Parallel Computing","NPC"
"IFIP International Conferences on Networking","Networking"
"IFIP/IEEE International Symposium on Integrated Network Management","IM"
"International Conference on Wireless Algorithms, Systems, and Applications","WASA"
"International Conference on Cryptographic Hardware and Embedded Systems","CHES"
"International Symposium on Recent Advances in Intrusion Detection","RAID"
"Passive and Active Measurement Conference","PAM"
"European Conference on Object-Oriented Programming","ECOOP"
"International Conference on Database Theory","ICDT"
"International Conference on Extending DB Technology","EDBT"
"International Conference on Innovative Data Systems Research","CIDR"
"European Symposium on Algorithms","ESA"
"International Colloquium on Automata, Languages and Programming","ICALP"
"Conference on Empirical Methods in Natural Language Processing","EMNLP"
"Annual Conference on Computational Learning Theory","COLT"
"European Conference on Artificial Intelligence","ECAI"
"International Joint Conference on Autonomous Agents and Multi-agent Systems","AAMAS"
